focus,n,A,B,mean(A),std(A),mean(B),std(B),U,p-value
mlp,1,fused,sp,0.2650885680333081,0.30907923988064845,0.17686406673324379,0.24360536938564833,29539.5,0.025
mlp,1,fused,sw,0.2650885680333081,0.30907923988064845,0.411649827716581,0.2811613906009382,18208.5,0.0
mlp,1,sp,sw,0.17686406673324379,0.24360536938564833,0.411649827716581,0.2811613906009382,13350.5,0.0
mlp,2,fused,sp,0.4174066654938766,0.30965022393682656,0.3165605148163994,0.3029644021817661,31340.5,0.001
mlp,2,fused,sw,0.4174066654938766,0.30965022393682656,0.638081992805292,0.2467464841896508,15457.5,0.0
mlp,2,sp,sw,0.3165605148163994,0.3029644021817661,0.638081992805292,0.2467464841896508,11443.5,0.0
mlp,3,fused,sp,0.47291819407214136,0.30668958347958547,0.3152752234596762,0.3088410289435957,33962.5,0.0
mlp,3,fused,sw,0.47291819407214136,0.30668958347958547,0.7118692266607624,0.23080071691356077,13287.5,0.0
mlp,3,sp,sw,0.3152752234596762,0.3088410289435957,0.7118692266607624,0.23080071691356077,8187.5,0.0
mlp,4,fused,sp,0.5732944118556474,0.29440795959125926,0.4525084442618326,0.3264784118778124,31742.5,0.0
mlp,4,fused,sw,0.5732944118556474,0.29440795959125926,0.7808918714840813,0.15977221361814878,13255.5,0.0
mlp,4,sp,sw,0.4525084442618326,0.3264784118778124,0.7808918714840813,0.15977221361814878,9418.0,0.0
mlp,5,fused,sp,0.5983653239241705,0.27509143416804765,0.547722119612165,0.2879875744331808,29432.0,0.036
mlp,5,fused,sw,0.5983653239241705,0.27509143416804765,0.8023398614650608,0.13870544800361428,13422.5,0.0
mlp,5,sp,sw,0.547722119612165,0.2879875744331808,0.8023398614650608,0.13870544800361428,10329.0,0.0
mlp,6,fused,sp,0.6113021419269753,0.2893990591385107,0.5271640084499791,0.32114310884035996,30808.0,0.002
mlp,6,fused,sw,0.6113021419269753,0.2893990591385107,0.8203213868511111,0.11447223981335676,13897.5,0.0
mlp,6,sp,sw,0.5271640084499791,0.32114310884035996,0.8203213868511111,0.11447223981335676,9510.0,0.0
mlp,7,fused,sp,0.6600767231620985,0.2311205692500467,0.6349170341660758,0.2623211632385548,27489.0,0.466
mlp,7,fused,sw,0.6600767231620985,0.2311205692500467,0.8262119333608303,0.10125955334714459,13319.0,0.0
mlp,7,sp,sw,0.6349170341660758,0.2623211632385548,0.8262119333608303,0.10125955334714459,11603.0,0.0
mlp,8,fused,sp,0.6451560279538072,0.2471731565728374,0.630053994833415,0.27437615009042415,26296.5,0.915
mlp,8,fused,sw,0.6451560279538072,0.2471731565728374,0.8436811536350025,0.09383182033161425,10310.5,0.0
mlp,8,sp,sw,0.630053994833415,0.27437615009042415,0.8436811536350025,0.09383182033161425,10926.5,0.0
mlp,9,fused,sp,0.6978290702782557,0.22719713544321554,0.6769583070762686,0.257631372347379,27816.5,0.338
mlp,9,fused,sw,0.6978290702782557,0.22719713544321554,0.8537120223005189,0.06510473072044984,14169.5,0.0
mlp,9,sp,sw,0.6769583070762686,0.257631372347379,0.8537120223005189,0.06510473072044984,12142.0,0.0
mlp,10,fused,sp,0.7296300364637703,0.19774652084915303,0.6999406349192406,0.21840898457902883,28693.0,0.116
mlp,10,fused,sw,0.7296300364637703,0.19774652084915303,0.8490779206634202,0.08047914515626661,15142.0,0.0
mlp,10,sp,sw,0.6999406349192406,0.21840898457902883,0.8490779206634202,0.08047914515626661,12413.5,0.0
mlp,11,fused,sp,0.7280930949197655,0.20996404417490336,0.7196558417250942,0.20345479205288397,28223.0,0.214
mlp,11,fused,sw,0.7280930949197655,0.20996404417490336,0.8596560743937571,0.05840697416984489,15591.5,0.0
mlp,11,sp,sw,0.7196558417250942,0.20345479205288397,0.8596560743937571,0.05840697416984489,12523.0,0.0
mlp,12,fused,sp,0.7356829079903303,0.2119239660052673,0.7231212838998359,0.206425502909697,28392.5,0.173
mlp,12,fused,sw,0.7356829079903303,0.2119239660052673,0.8620697370381477,0.05817492953116175,14785.0,0.0
mlp,12,sp,sw,0.7231212838998359,0.206425502909697,0.8620697370381477,0.05817492953116175,12511.0,0.0
mlp,13,fused,sp,0.7423085072206691,0.20633984006262657,0.7521322969424817,0.18123298324114545,26903.5,0.751
mlp,13,fused,sw,0.7423085072206691,0.20633984006262657,0.8597884258377002,0.058783391330274035,15783.5,0.0
mlp,13,sp,sw,0.7521322969424817,0.18123298324114545,0.8597884258377002,0.058783391330274035,14916.5,0.0
mlp,14,fused,sp,0.7548811788358978,0.1848755075807158,0.7495658720219366,0.18129225018291387,27567.0,0.434
mlp,14,fused,sw,0.7548811788358978,0.1848755075807158,0.8620626265320334,0.05942567790637644,15434.0,0.0
mlp,14,sp,sw,0.7495658720219366,0.18129225018291387,0.8620626265320334,0.05942567790637644,13949.5,0.0
mlp,15,fused,sp,0.7694704944185695,0.17815652266172408,0.7361076539240828,0.19713050540495364,29786.5,0.019
mlp,15,fused,sw,0.7694704944185695,0.17815652266172408,0.8605987266372168,0.05852372107958808,17724.5,0.0
mlp,15,sp,sw,0.7361076539240828,0.19713050540495364,0.8605987266372168,0.05852372107958808,14075.5,0.0
mlp,16,fused,sp,0.7878154319704539,0.16248600639626143,0.752231583398805,0.17990752412383587,30322.0,0.007
mlp,16,fused,sw,0.7878154319704539,0.16248600639626143,0.8618630251382711,0.060640873329491335,18441.5,0.0
mlp,16,sp,sw,0.752231583398805,0.17990752412383587,0.8618630251382711,0.060640873329491335,14563.5,0.0
mlp,17,fused,sp,0.7781706753851173,0.16477250782188413,0.7623916774410316,0.17517279911218134,28635.5,0.125
mlp,17,fused,sw,0.7781706753851173,0.16477250782188413,0.8637794138005446,0.06120411065066507,17518.0,0.0
mlp,17,sp,sw,0.7623916774410316,0.17517279911218134,0.8637794138005446,0.06120411065066507,15034.0,0.0
mlp,18,fused,sp,0.7799924377054562,0.1569459116682525,0.7619016470345737,0.16926801001470793,28744.0,0.108
mlp,18,fused,sw,0.7799924377054562,0.1569459116682525,0.8670038838556114,0.056230754927515815,17455.5,0.0
mlp,18,sp,sw,0.7619016470345737,0.16926801001470793,0.8670038838556114,0.056230754927515815,14282.5,0.0
mlp,19,fused,sp,0.7802011721576714,0.16489340087064883,0.7646198431781764,0.1696307410189888,28596.5,0.132
mlp,19,fused,sw,0.7802011721576714,0.16489340087064883,0.866013320715504,0.05714296311427666,17979.0,0.0
mlp,19,sp,sw,0.7646198431781764,0.1696307410189888,0.866013320715504,0.05714296311427666,15096.5,0.0
mlp,20,fused,sp,0.7944578912927864,0.14124178638442728,0.767462908626912,0.17408887111318164,29276.0,0.047
mlp,20,fused,sw,0.7944578912927864,0.14124178638442728,0.8677056829524259,0.05524371410322503,18118.5,0.0
mlp,20,sp,sw,0.767462908626912,0.17408887111318164,0.8677056829524259,0.05524371410322503,14812.5,0.0
mlp,21,fused,sp,0.7927828904209115,0.14498308666173537,0.7711444052778863,0.1674142404093883,28959.5,0.078
mlp,21,fused,sw,0.7927828904209115,0.14498308666173537,0.8648508767536455,0.05551037930037676,18905.0,0.0
mlp,21,sp,sw,0.7711444052778863,0.1674142404093883,0.8648508767536455,0.05551037930037676,15835.5,0.0
mlp,22,fused,sp,0.7896669579600788,0.14869082741828998,0.7844763481761585,0.15465537130885693,27979.0,0.284
mlp,22,fused,sw,0.7896669579600788,0.14869082741828998,0.8679724885539067,0.051171902864415975,18322.5,0.0
mlp,22,sp,sw,0.7844763481761585,0.15465537130885693,0.8679724885539067,0.051171902864415975,15862.0,0.0
cnn,1,fused,sp,0.3920818565143864,0.33740634977663975,0.21188378967180507,0.2909018763018976,34687.0,0.0
cnn,1,fused,sw,0.3920818565143864,0.33740634977663975,0.6831075880227885,0.23558782642959963,13362.5,0.0
cnn,1,sp,sw,0.21188378967180507,0.2909018763018976,0.6831075880227885,0.23558782642959963,6303.5,0.0
cnn,2,fused,sp,0.5706969427649754,0.33258947063493177,0.34976096290887737,0.3473729367009244,36179.5,0.0
cnn,2,fused,sw,0.5706969427649754,0.33258947063493177,0.796616407435126,0.12148195171218855,15306.5,0.0
cnn,2,sp,sw,0.34976096290887737,0.3473729367009244,0.796616407435126,0.12148195171218855,6439.5,0.0
cnn,3,fused,sp,0.7075655111907301,0.24570069140710804,0.45709134617117364,0.354204905509948,38028.0,0.0
cnn,3,fused,sw,0.7075655111907301,0.24570069140710804,0.8196920488315623,0.11025405322344992,19446.5,0.0
cnn,3,sp,sw,0.45709134617117364,0.354204905509948,0.8196920488315623,0.11025405322344992,8712.5,0.0
cnn,4,fused,sp,0.7325030354894138,0.2446884012961746,0.5546175087904031,0.3418672718719704,35973.0,0.0
cnn,4,fused,sw,0.7325030354894138,0.2446884012961746,0.821085487118512,0.12915925791125124,21627.5,0.001
cnn,4,sp,sw,0.5546175087904031,0.3418672718719704,0.821085487118512,0.12915925791125124,11547.5,0.0
cnn,5,fused,sp,0.7448620928492895,0.24545635201741187,0.6318075067806913,0.3095577130549124,33651.0,0.0
cnn,5,fused,sw,0.7448620928492895,0.24545635201741187,0.8427784349657288,0.09618361820769554,20767.5,0.0
cnn,5,sp,sw,0.6318075067806913,0.3095577130549124,0.8427784349657288,0.09618361820769554,13117.0,0.0
cnn,6,fused,sp,0.7516185731168672,0.2327964801112883,0.6080695151858231,0.32766494585847233,34495.5,0.0
cnn,6,fused,sw,0.7516185731168672,0.2327964801112883,0.8453267374724063,0.09290250444905879,19950.5,0.0
cnn,6,sp,sw,0.6080695151858231,0.32766494585847233,0.8453267374724063,0.09290250444905879,11916.5,0.0
cnn,7,fused,sp,0.7970732457114547,0.17505525805889946,0.7016241941892835,0.2560953040483522,34131.5,0.0
cnn,7,fused,sw,0.7970732457114547,0.17505525805889946,0.8497405931077262,0.07984803795067148,23067.5,0.018
cnn,7,sp,sw,0.7016241941892835,0.2560953040483522,0.8497405931077262,0.07984803795067148,14673.5,0.0
cnn,8,fused,sp,0.7986167658324679,0.18241571504152784,0.7152130611360624,0.25542621198157195,33780.0,0.0
cnn,8,fused,sw,0.7986167658324679,0.18241571504152784,0.8540527592327415,0.08424970146837879,23256.0,0.025
cnn,8,sp,sw,0.7152130611360624,0.25542621198157195,0.8540527592327415,0.08424970146837879,14689.0,0.0
cnn,9,fused,sp,0.8114130727897902,0.16076230454987042,0.7351521849904235,0.24810004209968253,32346.5,0.0
cnn,9,fused,sw,0.8114130727897902,0.16076230454987042,0.8636557401083178,0.06566267050447312,22060.0,0.002
cnn,9,sp,sw,0.7351521849904235,0.24810004209968253,0.8636557401083178,0.06566267050447312,15843.5,0.0
cnn,10,fused,sp,0.8417287577263937,0.11280738769813309,0.7556153219371142,0.2246942807517469,34350.0,0.0
cnn,10,fused,sw,0.8417287577263937,0.11280738769813309,0.8641408829095841,0.06400222260268464,24393.0,0.149
cnn,10,sp,sw,0.7556153219371142,0.2246942807517469,0.8641408829095841,0.06400222260268464,15875.5,0.0
cnn,11,fused,sp,0.8355546183092258,0.12141302929957874,0.768450374366317,0.21172530555207675,33597.5,0.0
cnn,11,fused,sw,0.8355546183092258,0.12141302929957874,0.8645125254436276,0.06396089278581059,24123.0,0.103
cnn,11,sp,sw,0.768450374366317,0.21172530555207675,0.8645125254436276,0.06396089278581059,16236.5,0.0
cnn,12,fused,sp,0.8414772548584489,0.11190760930704795,0.7626317660282627,0.2161016761624936,33766.5,0.0
cnn,12,fused,sw,0.8414772548584489,0.11190760930704795,0.86718752817393,0.05434049493630293,24663.5,0.21
cnn,12,sp,sw,0.7626317660282627,0.2161016761624936,0.86718752817393,0.05434049493630293,16952.0,0.0
cnn,13,fused,sp,0.845636818960983,0.09428167336503632,0.765630976300513,0.21713774898097063,33897.0,0.0
cnn,13,fused,sw,0.845636818960983,0.09428167336503632,0.868691200128952,0.059008778819240916,23114.0,0.019
cnn,13,sp,sw,0.765630976300513,0.21713774898097063,0.868691200128952,0.059008778819240916,15542.0,0.0
cnn,14,fused,sp,0.8413485073800251,0.11931886322602991,0.7791311021320265,0.21229455941498723,33310.0,0.0
cnn,14,fused,sw,0.8413485073800251,0.11931886322602991,0.8698596602831608,0.055898969042460826,24438.5,0.158
cnn,14,sp,sw,0.7791311021320265,0.21229455941498723,0.8698596602831608,0.055898969042460826,17043.5,0.0
cnn,15,fused,sp,0.8464680392084706,0.10354225789568804,0.7708910968559389,0.22077061335475456,33144.0,0.0
cnn,15,fused,sw,0.8464680392084706,0.10354225789568804,0.8674509689641228,0.05651236279276273,24474.0,0.166
cnn,15,sp,sw,0.7708910968559389,0.22077061335475456,0.8674509689641228,0.05651236279276273,17432.5,0.0
cnn,16,fused,sp,0.8531081182016496,0.09726229382406164,0.7922652022087896,0.202878260262007,32227.5,0.0
cnn,16,fused,sw,0.8531081182016496,0.09726229382406164,0.873189123987684,0.054396956061088214,23770.5,0.06
cnn,16,sp,sw,0.7922652022087896,0.202878260262007,0.873189123987684,0.054396956061088214,18119.5,0.0
cnn,17,fused,sp,0.8588552901288505,0.09258564179591305,0.7790624062732429,0.2201246264362148,33850.0,0.0
cnn,17,fused,sw,0.8588552901288505,0.09258564179591305,0.8703436863431814,0.05312449826313451,26434.5,0.992
cnn,17,sp,sw,0.7790624062732429,0.2201246264362148,0.8703436863431814,0.05312449826313451,18555.5,0.0
cnn,18,fused,sp,0.8492926921501178,0.11277290962797117,0.7893297611486441,0.2058897257141273,32843.0,0.0
cnn,18,fused,sw,0.8492926921501178,0.11277290962797117,0.8748151757255545,0.05089265163031108,24298.0,0.131
cnn,18,sp,sw,0.7893297611486441,0.2058897257141273,0.8748151757255545,0.05089265163031108,17730.5,0.0
cnn,19,fused,sp,0.8559601191781706,0.09048458941423768,0.7838812880004943,0.21100866454639328,33769.5,0.0
cnn,19,fused,sw,0.8559601191781706,0.09048458941423768,0.8771049773156365,0.04906267453585833,23844.0,0.068
cnn,19,sp,sw,0.7838812880004943,0.21100866454639328,0.8771049773156365,0.04906267453585833,16661.5,0.0
cnn,20,fused,sp,0.8622958320820858,0.0811503012127041,0.79850560252559,0.2017552453870833,32557.0,0.0
cnn,20,fused,sw,0.8622958320820858,0.0811503012127041,0.8721226004674852,0.05502958436186007,25624.5,0.563
cnn,20,sp,sw,0.79850560252559,0.2017552453870833,0.8721226004674852,0.05502958436186007,19330.0,0.0
cnn,21,fused,sp,0.8565793972412127,0.09318788834114283,0.7976934502783913,0.2044886249309718,31666.0,0.0
cnn,21,fused,sw,0.8565793972412127,0.09318788834114283,0.8758662469525909,0.048100359198032606,24361.0,0.143
cnn,21,sp,sw,0.7976934502783913,0.2044886249309718,0.8758662469525909,0.048100359198032606,19153.5,0.0
cnn,22,fused,sp,0.8522924848130065,0.10278693034409596,0.799905972541797,0.20430797684620047,31573.5,0.0
cnn,22,fused,sw,0.8522924848130065,0.10278693034409596,0.8788697607228748,0.04413208765386315,23164.0,0.021
cnn,22,sp,sw,0.799905972541797,0.20430797684620047,0.8788697607228748,0.04413208765386315,18119.5,0.0
lstm,1,fused,sp,0.3430142815279411,0.31896714903942297,0.23078084622748368,0.2769017495406393,32047.0,0.0
lstm,1,fused,sw,0.3430142815279411,0.31896714903942297,0.7124212583343127,0.152871573266552,9724.5,0.0
lstm,1,sp,sw,0.23078084622748368,0.2769017495406393,0.7124212583343127,0.152871573266552,4837.0,0.0
lstm,2,fused,sp,0.5292382526789995,0.32122051491323433,0.3051539743089599,0.3168506903294435,36420.5,0.0
lstm,2,fused,sw,0.5292382526789995,0.32122051491323433,0.7878854459059075,0.12346789781956459,13257.0,0.0
lstm,2,sp,sw,0.3051539743089599,0.3168506903294435,0.7878854459059075,0.12346789781956459,4558.0,0.0
lstm,3,fused,sp,0.6409752670761669,0.27689527759193294,0.4038577025666191,0.3328399267742541,37748.5,0.0
lstm,3,fused,sw,0.6409752670761669,0.27689527759193294,0.7991849263912875,0.14298763764455977,16205.0,0.0
lstm,3,sp,sw,0.4038577025666191,0.3328399267742541,0.7991849263912875,0.14298763764455977,6930.0,0.0
lstm,4,fused,sp,0.6804747488948991,0.27314450327940537,0.4748909807508029,0.32603414500984307,37504.0,0.0
lstm,4,fused,sw,0.6804747488948991,0.27314450327940537,0.815064718544654,0.11958681950660077,18425.0,0.0
lstm,4,sp,sw,0.4748909807508029,0.32603414500984307,0.815064718544654,0.11958681950660077,7736.5,0.0
lstm,5,fused,sp,0.6846528202246944,0.26970086196235304,0.5536447019055415,0.2992065379537145,35268.0,0.0
lstm,5,fused,sw,0.6846528202246944,0.26970086196235304,0.8276879671935992,0.09652536953380698,18291.0,0.0
lstm,5,sp,sw,0.5536447019055415,0.2992065379537145,0.8276879671935992,0.09652536953380698,8936.5,0.0
lstm,6,fused,sp,0.7216384579165047,0.2294232037215986,0.5500148344240124,0.3051615072326043,36967.0,0.0
lstm,6,fused,sw,0.7216384579165047,0.2294232037215986,0.8426509682487151,0.07979168105653126,16908.0,0.0
lstm,6,sp,sw,0.5500148344240124,0.3051615072326043,0.8426509682487151,0.07979168105653126,7302.5,0.0
lstm,7,fused,sp,0.7601518938977356,0.19346751752966992,0.6258513556972083,0.269657697379283,36466.5,0.0
lstm,7,fused,sw,0.7601518938977356,0.19346751752966992,0.8380477835014729,0.09857120227712626,19570.0,0.0
lstm,7,sp,sw,0.6258513556972083,0.269657697379283,0.8380477835014729,0.09857120227712626,9918.0,0.0
lstm,8,fused,sp,0.7696742568876118,0.1717137064431365,0.6371695695356459,0.27703773005003857,34979.0,0.0
lstm,8,fused,sw,0.7696742568876118,0.1717137064431365,0.8474544359364701,0.08719950260453367,19212.0,0.0
lstm,8,sp,sw,0.6371695695356459,0.27703773005003857,0.8474544359364701,0.08719950260453367,10808.0,0.0
lstm,9,fused,sp,0.7791227782762633,0.18291361459058889,0.6970092562669249,0.2581449479834654,32350.5,0.0
lstm,9,fused,sw,0.7791227782762633,0.18291361459058889,0.8434050830305786,0.09705252690592531,20494.5,0.0
