focus,n,A,B,mean(A),std(A),mean(B),std(B),U,p-value
mlp,1,fused,sp,0.21849022784849423,0.24361010487980989,0.16015588377659676,0.20580432854022926,30127.5,0.008
mlp,1,fused,sw,0.21849022784849423,0.24361010487980989,0.4225264470184579,0.19879840394236684,13408.0,0.0
mlp,1,sp,sw,0.16015588377659676,0.20580432854022926,0.4225264470184579,0.19879840394236684,9489.0,0.0
mlp,2,fused,sp,0.34417476813336473,0.2765076158014421,0.2885569342902601,0.26794711285527223,29739.5,0.02
mlp,2,fused,sw,0.34417476813336473,0.2765076158014421,0.5499015876950114,0.15926772779589957,15244.5,0.0
mlp,2,sp,sw,0.2885569342902601,0.26794711285527223,0.5499015876950114,0.15926772779589957,12056.5,0.0
mlp,3,fused,sp,0.42704348642308687,0.2726476933604475,0.3357737065270541,0.2719189654018963,31609.0,0.0
mlp,3,fused,sw,0.42704348642308687,0.2726476933604475,0.551741985494569,0.15347703609113242,19835.0,0.0
mlp,3,sp,sw,0.3357737065270541,0.2719189654018963,0.551741985494569,0.15347703609113242,13769.0,0.0
mlp,4,fused,sp,0.5034726668463225,0.27853626276046356,0.4248760051989712,0.2755093236461412,31275.0,0.0015
mlp,4,fused,sw,0.5034726668463225,0.27853626276046356,0.6047100391228839,0.13373508276402163,22955.0,0.014
mlp,4,sp,sw,0.4248760051989712,0.2755093236461412,0.6047100391228839,0.13373508276402163,16512.5,0.0
mlp,5,fused,sp,0.5500977385763928,0.25617181821475377,0.47464404761400264,0.25969789298453416,31161.0,0.0015
mlp,5,fused,sw,0.5500977385763928,0.25617181821475377,0.6160632736846073,0.13877488493948137,24343.5,0.14
mlp,5,sp,sw,0.47464404761400264,0.25969789298453416,0.6160632736846073,0.13877488493948137,18116.0,0.0
mlp,6,fused,sp,0.5377108517418712,0.2893578557674047,0.4750091329997331,0.2779612274707219,30316.0,0.0105
