focus,n,A,B,mean(A),std(A),mean(B),std(B),U,p-value
mlp,1,fused,sp,0.2789246920641497,0.3310077077911306,0.28542548300907494,0.34056346302876617,26413.5,0.979
mlp,1,fused,sw,0.2789246920641497,0.3310077077911306,0.6212507044949943,0.19356988151760932,11639.0,0.0
mlp,1,sp,sw,0.28542548300907494,0.34056346302876617,0.6212507044949943,0.19356988151760932,12258.0,0.0
mlp,2,fused,sp,0.503076653248712,0.3544358614389727,0.4783596257073351,0.3615457168415696,27134.0,0.63
mlp,2,fused,sw,0.503076653248712,0.3544358614389727,0.7397336193317278,0.1427475176205128,18244.5,0.0
mlp,2,sp,sw,0.4783596257073351,0.3615457168415696,0.7397336193317278,0.1427475176205128,17575.0,0.0
mlp,3,fused,sp,0.7045551664682418,0.22937063391288884,0.6428527229442792,0.284012877451256,28999.0,0.111
mlp,3,fused,sw,0.7045551664682418,0.22937063391288884,0.7412081185878099,0.1720260583769896,25257.0,0.403
mlp,3,sp,sw,0.6428527229442792,0.284012877451256,0.7412081185878099,0.1720260583769896,22784.5,0.030000000000000002
mlp,7,fused,sp,0.8197839236550427,0.16053136303667564,0.7840006856034613,0.2190337492509563,27267.0,0.567
mlp,7,fused,sw,0.8197839236550427,0.16053136303667564,0.8170249852238444,0.10521128935136569,31481.0,0.0
mlp,7,sp,sw,0.7840006856034613,0.2190337492509563,0.8170249852238444,0.10521128935136569,30126.5,0.015000000000000001
mlp,8,fused,sp,0.8478287488187938,0.12136996835338142,0.820603146213298,0.16661205556005038,28670.0,0.119
mlp,8,fused,sw,0.8478287488187938,0.12136996835338142,0.8360081665727542,0.08594922363972031,32568.5,0.0
mlp,8,sp,sw,0.820603146213298,0.16661205556005038,0.8360081665727542,0.08594922363972031,29465.0,0.051000000000000004
mlp,9,fused,sp,0.8659950817145359,0.086621358930981,0.8556275304337256,0.11362933519784121,26747.5,0.835
mlp,9,fused,sw,0.8659950817145359,0.086621358930981,0.8373019890844156,0.08794307875172389,33926.0,0.0
mlp,9,sp,sw,0.8556275304337256,0.11362933519784121,0.8373019890844156,0.08794307875172389,33733.5,0.0
mlp,10,fused,sp,0.8633219699411128,0.11964798062627668,0.8550288352862029,0.12804621804321717,27683.0,0.387
mlp,10,fused,sw,0.8633219699411128,0.11964798062627668,0.8429441094556188,0.08492006342398527,34790.5,0.0
mlp,10,sp,sw,0.8550288352862029,0.12804621804321717,0.8429441094556188,0.08492006342398527,33798.5,0.0
mlp,11,fused,sp,0.8721770856399159,0.09693308926333258,0.8609145609243639,0.1261758794644069,27233.5,0.583
mlp,11,fused,sw,0.8721770856399159,0.09693308926333258,0.841904236015053,0.08780339858563058,35320.0,0.0
mlp,11,sp,sw,0.8609145609243639,0.1261758794644069,0.841904236015053,0.08780339858563058,34941.5,0.0
mlp,12,fused,sp,0.8814831496036056,0.07716373601689704,0.8608737146125073,0.14470080466937332,26586.0,0.924
mlp,12,fused,sw,0.8814831496036056,0.07716373601689704,0.8427799068466766,0.08259789168238062,37433.5,0.0
mlp,12,sp,sw,0.8608737146125073,0.14470080466937332,0.8427799068466766,0.08259789168238062,36624.0,0.0
mlp,13,fused,sp,0.889143200128382,0.06140020188282103,0.8819420473711216,0.09591465050788889,27033.5,0.683
mlp,13,fused,sw,0.889143200128382,0.06140020188282103,0.84573246635358,0.08674804739341926,38459.0,0.0
mlp,13,sp,sw,0.8819420473711216,0.09591465050788889,0.84573246635358,0.08674804739341926,38092.5,0.0
mlp,14,fused,sp,0.8841614679597123,0.08428831218224535,0.8789188701025806,0.10037867255988421,27042.5,0.678
mlp,14,fused,sw,0.8841614679597123,0.08428831218224535,0.8469470891170893,0.0895897046796891,37824.5,0.0
mlp,14,sp,sw,0.8789188701025806,0.10037867255988421,0.8469470891170893,0.0895897046796891,37913.0,0.0
mlp,15,fused,sp,0.8987111730400996,0.0520399552151577,0.8957829410500724,0.05567975025470336,27813.0,0.339
mlp,15,fused,sw,0.8987111730400996,0.0520399552151577,0.8458369438980371,0.0970341256631636,39773.0,0.0
mlp,15,sp,sw,0.8957829410500724,0.05567975025470336,0.8458369438980371,0.0970341256631636,38811.0,0.0
mlp,16,fused,sp,0.8965417210125657,0.05209876175901898,0.8863488230117158,0.08968404529389094,27505.0,0.459
mlp,16,fused,sw,0.8965417210125657,0.05209876175901898,0.8479498676709297,0.08720097012423518,39265.5,0.0
mlp,16,sp,sw,0.8863488230117158,0.08968404529389094,0.8479498676709297,0.08720097012423518,38290.0,0.0
mlp,17,fused,sp,0.9011524711405198,0.049484289893725844,0.8936394668296739,0.07390057780747868,27728.0,0.37
mlp,17,fused,sw,0.9011524711405198,0.049484289893725844,0.8503665538027366,0.08504580253288259,40531.0,0.0
mlp,17,sp,sw,0.8936394668296739,0.07390057780747868,0.8503665538027366,0.08504580253288259,39521.5,0.0
mlp,18,fused,sp,0.9035313264336301,0.051556992431301046,0.9002068479379456,0.04843923805749216,28043.5,0.264
mlp,18,fused,sw,0.9035313264336301,0.051556992431301046,0.8523696731161482,0.08178364124987458,41004.5,0.0
mlp,18,sp,sw,0.9002068479379456,0.04843923805749216,0.8523696731161482,0.08178364124987458,39732.5,0.0
mlp,19,fused,sp,0.9064765893405319,0.042482729090822374,0.9014697224109022,0.06565376648104158,26935.5,0.734
mlp,19,fused,sw,0.9064765893405319,0.042482729090822374,0.8523373065327944,0.0854846425451143,41655.5,0.0
mlp,19,sp,sw,0.9014697224109022,0.06565376648104158,0.8523373065327944,0.0854846425451143,41352.5,0.0
mlp,20,fused,sp,0.9081904607796463,0.0425537110255667,0.9057953137471135,0.04122719610201193,28585.5,0.134
mlp,20,fused,sw,0.9081904607796463,0.0425537110255667,0.8553973625813834,0.07848370827075224,42004.5,0.0
mlp,20,sp,sw,0.9057953137471135,0.04122719610201193,0.8553973625813834,0.07848370827075224,40532.0,0.0
mlp,21,fused,sp,0.9100993839350108,0.0427559095176732,0.9047238975248366,0.04411123510390318,29496.0,0.033
mlp,21,fused,sw,0.9100993839350108,0.0427559095176732,0.8556725413086782,0.08756655869977904,41594.0,0.0
