focus,n,A,B,mean(A),std(A),mean(B),std(B),U,p-value
mlp,1,fused,sp,0.31825615812810026,0.22901404995566937,0.3011973082601465,0.3251385604860562,28010.5,0.265
mlp,1,fused,sw,0.31825615812810026,0.22901404995566937,0.39615596023680666,0.17634212446944153,20322.5,0.0
mlp,1,sp,sw,0.3011973082601465,0.3251385604860562,0.39615596023680666,0.17634212446944153,20684.5,0.0
mlp,2,fused,sp,0.44422417697050615,0.28118633525779707,0.5149528978119806,0.3492037496765056,21530.5,0.0015
mlp,2,fused,sw,0.44422417697050615,0.28118633525779707,0.5812344273926005,0.1595602363148683,19702.5,0.0
mlp,2,sp,sw,0.5149528978119806,0.3492037496765056,0.5812344273926005,0.1595602363148683,27844.0,0.328
mlp,3,fused,sp,0.6033407710127837,0.21023416122846503,0.6421594997065202,0.2550927062440819,22004.0,0.003
mlp,3,fused,sw,0.6033407710127837,0.21023416122846503,0.6540669712236816,0.11351683455797565,24476.5,0.166
mlp,3,sp,sw,0.6421594997065202,0.2550927062440819,0.6540669712236816,0.11351683455797565,31137.5,0.003
mlp,4,fused,sp,0.6549691923473412,0.24314922979955048,0.6751150166607824,0.26717102879942217,23605.0,0.046
mlp,4,fused,sw,0.6549691923473412,0.24314922979955048,0.6724397028516659,0.09558927675097618,30839.0,0.003
mlp,4,sp,sw,0.6751150166607824,0.26717102879942217,0.6724397028516659,0.09558927675097618,34902.5,0.0
mlp,5,fused,sp,0.7190634198285021,0.18511089373718864,0.7374572293419703,0.21996370970076448,22146.0,0.003
mlp,5,fused,sw,0.7190634198285021,0.18511089373718864,0.6990074799490456,0.08727339865872719,33924.5,0.0
mlp,5,sp,sw,0.7374572293419703,0.21996370970076448,0.6990074799490456,0.08727339865872719,38414.0,0.0
mlp,6,fused,sp,0.7047686692899604,0.2201980515153341,0.7228338494960801,0.24318839487572402,23606.0,0.046
mlp,6,fused,sw,0.7047686692899604,0.2201980515153341,0.7031158111561235,0.09149230275595666,33327.0,0.0
mlp,6,sp,sw,0.7228338494960801,0.24318839487572402,0.7031158111561235,0.09149230275595666,37161.0,0.0
mlp,7,fused,sp,0.7623409178172588,0.17040895041938914,0.7597387830395285,0.20484906203820397,24508.5,0.173
mlp,7,fused,sw,0.7623409178172588,0.17040895041938914,0.712885573052289,0.08876229789705199,38056.0,0.0
mlp,7,sp,sw,0.7597387830395285,0.20484906203820397,0.712885573052289,0.08876229789705199,39395.5,0.0
mlp,8,fused,sp,0.7877440769475044,0.14065488329897555,0.7868699191930135,0.16294955407391568,24804.0,0.248
mlp,8,fused,sw,0.7877440769475044,0.14065488329897555,0.7174589623351635,0.08344342455666011,41177.0,0.0
mlp,8,sp,sw,0.7868699191930135,0.16294955407391568,0.7174589623351635,0.08344342455666011,41726.0,0.0
mlp,9,fused,sp,0.8102068868985558,0.10791941126288625,0.8120105733189064,0.11857386847754944,24736.0,0.229
mlp,9,fused,sw,0.8102068868985558,0.10791941126288625,0.7269495063117349,0.07831080389987971,42311.0,0.0
mlp,9,sp,sw,0.8120105733189064,0.11857386847754944,0.7269495063117349,0.07831080389987971,42769.0,0.0
mlp,10,fused,sp,0.814046602622761,0.1210378811623826,0.8125171865587081,0.13204278560569324,25882.0,0.691
mlp,10,fused,sw,0.814046602622761,0.1210378811623826,0.7320440142960373,0.07959963123173057,42622.0,0.0
mlp,10,sp,sw,0.8125171865587081,0.13204278560569324,0.7320440142960373,0.07959963123173057,42764.0,0.0
mlp,11,fused,sp,0.8228377945097921,0.1014370311003468,0.8109280188452614,0.13353167911228112,26823.5,0.794
mlp,11,fused,sw,0.8228377945097921,0.1014370311003468,0.7283826471351211,0.08031394816016302,44235.0,0.0
mlp,11,sp,sw,0.8109280188452614,0.13353167911228112,0.7283826471351211,0.08031394816016302,42816.0,0.0
mlp,12,fused,sp,0.8338546318009205,0.08177400258505844,0.8262138365839371,0.10982101585702354,26962.5,0.719
mlp,12,fused,sw,0.8338546318009205,0.08177400258505844,0.7302594933883862,0.08035043090572672,44923.0,0.0
mlp,12,sp,sw,0.8262138365839371,0.10982101585702354,0.7302594933883862,0.08035043090572672,44328.0,0.0
mlp,13,fused,sp,0.8375051708650781,0.07686715891842641,0.8348043411615494,0.09308487873263795,26034.0,0.771
mlp,13,fused,sw,0.8375051708650781,0.07686715891842641,0.7373160966799887,0.07385380736872221,45100.0,0.0
mlp,13,sp,sw,0.8348043411615494,0.09308487873263795,0.7373160966799887,0.07385380736872221,44924.0,0.0
mlp,14,fused,sp,0.8366559830532947,0.10134536886731592,0.8372090920364502,0.09886776541754541,26663.5,0.881
mlp,14,fused,sw,0.8366559830532947,0.10134536886731592,0.7401216019510962,0.07868333263573413,45197.0,0.0
mlp,14,sp,sw,0.8372090920364502,0.09886776541754541,0.7401216019510962,0.07868333263573413,45120.0,0.0
mlp,15,fused,sp,0.851511469068623,0.05893435361584209,0.8480142105953403,0.06945227752283856,27024.5,0.687
mlp,15,fused,sw,0.851511469068623,0.05893435361584209,0.7433393234696696,0.07273236453195918,47193.0,0.0
mlp,15,sp,sw,0.8480142105953403,0.06945227752283856,0.7433393234696696,0.07273236453195918,46621.5,0.0
mlp,16,fused,sp,0.84609626014577,0.06908454784693499,0.844265861385308,0.07958324218554,25864.5,0.682
mlp,16,fused,sw,0.84609626014577,0.06908454784693499,0.740893855503187,0.07622229527388222,46727.0,0.0
mlp,16,sp,sw,0.844265861385308,0.07958324218554,0.740893855503187,0.07622229527388222,46064.5,0.0
mlp,17,fused,sp,0.85513799587426,0.061651791456282516,0.8518183532683861,0.07043914026584494,26663.5,0.881
mlp,17,fused,sw,0.85513799587426,0.061651791456282516,0.7425345127656922,0.07364250892340744,47391.5,0.0
mlp,17,sp,sw,0.8518183532683861,0.07043914026584494,0.7425345127656922,0.07364250892340744,47040.0,0.0
