focus,n,A,B,mean(A),std(A),mean(B),std(B),U,p-value
mlp,1,fused,sp,0.19420211183417582,0.23189522404834012,0.1669666184627986,0.19015419009588108,27103.5,0.641
mlp,1,fused,sw,0.19420211183417582,0.23189522404834012,0.36103420545219056,0.19053373814428756,13701.0,0.0
mlp,1,sp,sw,0.1669666184627986,0.19015419009588108,0.36103420545219056,0.19053373814428756,11824.5,0.0
mlp,2,fused,sp,0.35044497676399383,0.26160205120095126,0.26685689068803753,0.24706996447056345,31367.0,0.001
mlp,2,fused,sw,0.35044497676399383,0.26160205120095126,0.44740273908382755,0.16852159645829148,20756.0,0.0
mlp,2,sp,sw,0.26685689068803753,0.24706996447056345,0.44740273908382755,0.16852159645829148,14889.0,0.0
mlp,3,fused,sp,0.4277339824721583,0.2524536923656831,0.30093288692893894,0.24060535372853076,34125.5,0.0
mlp,3,fused,sw,0.4277339824721583,0.2524536923656831,0.5254062525214869,0.15590233740982667,20957.0,0.0
mlp,3,sp,sw,0.30093288692893894,0.24060535372853076,0.5254062525214869,0.15590233740982667,12354.5,0.0
mlp,4,fused,sp,0.5040827299866667,0.25336710664387724,0.3899475792408152,0.26174264551005016,33299.0,0.0
mlp,4,fused,sw,0.5040827299866667,0.25336710664387724,0.5829116867004263,0.13862639114046796,23363.0,0.03
mlp,4,sp,sw,0.3899475792408152,0.26174264551005016,0.5829116867004263,0.13862639114046796,15286.0,0.0
mlp,5,fused,sp,0.5529691550356023,0.2220185980335419,0.4709091047926361,0.23299408923520737,31990.5,0.0
mlp,5,fused,sw,0.5529691550356023,0.2220185980335419,0.612918897739054,0.13517582386450006,24057.5,0.093
mlp,5,sp,sw,0.4709091047926361,0.23299408923520737,0.612918897739054,0.13517582386450006,17589.0,0.0
mlp,6,fused,sp,0.5557821821126148,0.23766855934766337,0.4598179875910585,0.24955056444704773,32802.5,0.0
mlp,6,fused,sw,0.5557821821126148,0.23766855934766337,0.621289117667836,0.125421688817585,24864.5,0.266
mlp,6,sp,sw,0.4598179875910585,0.24955056444704773,0.621289117667836,0.125421688817585,17129.0,0.0
mlp,7,fused,sp,0.6018205827406432,0.2132432209998,0.5177942451670877,0.23992392781627253,31921.5,0.0
mlp,7,fused,sw,0.6018205827406432,0.2132432209998,0.6383287944856739,0.12772290821082197,25960.5,0.732
mlp,7,sp,sw,0.5177942451670877,0.23992392781627253,0.6383287944856739,0.12772290821082197,19736.5,0.0
mlp,8,fused,sp,0.6147341220750301,0.214849663834673,0.5296883499669819,0.24318843120034728,32300.5,0.0
mlp,8,fused,sw,0.6147341220750301,0.214849663834673,0.6522224604188829,0.12316077615280592,26451.0,1.0
mlp,8,sp,sw,0.5296883499669819,0.24318843120034728,0.6522224604188829,0.12316077615280592,19818.0,0.0
mlp,9,fused,sp,0.6278813244543306,0.23066178446002564,0.5609027973691327,0.2527082017011268,31544.5,0.0
mlp,9,fused,sw,0.6278813244543306,0.23066178446002564,0.6671703009946456,0.11503322434102813,27508.5,0.458
mlp,9,sp,sw,0.5609027973691327,0.2527082017011268,0.6671703009946456,0.11503322434102813,21799.0,0.0015
mlp,10,fused,sp,0.667011015366009,0.2050872182168793,0.5886001025236672,0.2229451208274955,33260.0,0.0
mlp,10,fused,sw,0.667011015366009,0.2050872182168793,0.6757449383927485,0.11814028588932775,29785.0,0.019
mlp,10,sp,sw,0.5886001025236672,0.2229451208274955,0.6757449383927485,0.11814028588932775,21835.5,0.0015
mlp,11,fused,sp,0.6865410951757713,0.1783581700289875,0.6237030218224264,0.19125735093442203,32350.5,0.0
mlp,11,fused,sw,0.6865410951757713,0.1783581700289875,0.6780903586539088,0.1129118206783589,30456.5,0.007500000000000001
mlp,11,sp,sw,0.6237030218224264,0.19125735093442203,0.6780903586539088,0.1129118206783589,23578.5,0.044
mlp,12,fused,sp,0.7010908818473712,0.17640266715438851,0.6282263662651802,0.20869055274457882,32581.0,0.0
mlp,12,fused,sw,0.7010908818473712,0.17640266715438851,0.6842872183174257,0.11017097115024206,32060.5,0.0
mlp,12,sp,sw,0.6282263662651802,0.20869055274457882,0.6842872183174257,0.11017097115024206,24400.0,0.151
mlp,13,fused,sp,0.7117927343411339,0.18309017055820123,0.6601531061212086,0.18651380795433345,31856.0,0.0
mlp,13,fused,sw,0.7117927343411339,0.18309017055820123,0.6868853702722335,0.10163134813001418,33721.0,0.0
mlp,13,sp,sw,0.6601531061212086,0.18651380795433345,0.6868853702722335,0.10163134813001418,27132.0,0.633
mlp,14,fused,sp,0.7058699939623475,0.191572119487942,0.6585768987292033,0.19811875083896144,31043.5,0.0015
mlp,14,fused,sw,0.7058699939623475,0.191572119487942,0.686272149327311,0.10279533415953615,33572.5,0.0
mlp,14,sp,sw,0.6585768987292033,0.19811875083896144,0.686272149327311,0.10279533415953615,27662.5,0.395
mlp,15,fused,sp,0.7316822186309258,0.18965834600737616,0.6712455911007008,0.18155837326432955,34016.0,0.0
mlp,15,fused,sw,0.7316822186309258,0.18965834600737616,0.6956119887281877,0.10665220334317206,35492.5,0.0
mlp,15,sp,sw,0.6712455911007008,0.18155837326432955,0.6956119887281877,0.10665220334317206,26656.5,0.885
mlp,16,fused,sp,0.7318639308511197,0.18212878191807094,0.6603670758069412,0.1839351988951279,34925.0,0.0
mlp,16,fused,sw,0.7318639308511197,0.18212878191807094,0.6893803749675281,0.10413512496452297,36641.5,0.0
mlp,16,sp,sw,0.6603670758069412,0.1839351988951279,0.6893803749675281,0.10413512496452297,26682.5,0.871
mlp,17,fused,sp,0.7473794048978225,0.1666396588409761,0.6883446463176078,0.17054349473544975,33856.5,0.0
mlp,17,fused,sw,0.7473794048978225,0.1666396588409761,0.7032454484570332,0.1081164778825397,36089.0,0.0
mlp,17,sp,sw,0.6883446463176078,0.17054349473544975,0.7032454484570332,0.1081164778825397,27693.0,0.383
mlp,18,fused,sp,0.739731389514653,0.17234209090518005,0.6863616132167781,0.17298282145071492,33184.5,0.0
mlp,18,fused,sw,0.739731389514653,0.17234209090518005,0.6983823255803786,0.10466456784359406,36245.5,0.0
mlp,18,sp,sw,0.6863616132167781,0.17298282145071492,0.6983823255803786,0.10466456784359406,28460.5,0.159
mlp,19,fused,sp,0.7559477677513264,0.16717302566171663,0.7027969884054657,0.16097729460626345,33879.5,0.0
mlp,19,fused,sw,0.7559477677513264,0.16717302566171663,0.6990071633326861,0.1072972402918365,37664.5,0.0
mlp,19,sp,sw,0.7027969884054657,0.16097729460626345,0.6990071633326861,0.1072972402918365,29641.0,0.025
mlp,20,fused,sp,0.7599613243560377,0.17000673688916362,0.7075723675551474,0.14281028973968843,34488.5,0.0
mlp,20,fused,sw,0.7599613243560377,0.17000673688916362,0.6980001141808135,0.10552517712559768,38450.5,0.0
mlp,20,sp,sw,0.7075723675551474,0.14281028973968843,0.6980001141808135,0.10552517712559768,29798.5,0.019
mlp,21,fused,sp,0.7596269136826731,0.17559419331508383,0.7112995444963489,0.14560756824430138,34233.5,0.0
mlp,21,fused,sw,0.7596269136826731,0.17559419331508383,0.712149614895431,0.10505420412399104,37528.5,0.0
mlp,21,sp,sw,0.7112995444963489,0.14560756824430138,0.712149614895431,0.10505420412399104,28404.0,0.171
mlp,22,fused,sp,0.7638865810268971,0.18181061045619173,0.7218646955666667,0.14057140081709077,34122.5,0.0
mlp,22,fused,sw,0.7638865810268971,0.18181061045619173,0.7018347835055936,0.10734902722731023,40030.5,0.0
mlp,22,sp,sw,0.7218646955666667,0.14057140081709077,0.7018347835055936,0.10734902722731023,31192.0,0.001
cnn,1,fused,sp,0.3122267315986907,0.28093825752243956,0.21939606577614268,0.26587567288527464,32179.0,0.0
cnn,1,fused,sw,0.3122267315986907,0.28093825752243956,0.5696282563670262,0.15231018100552846,12249.0,0.0
cnn,1,sp,sw,0.21939606577614268,0.26587567288527464,0.5696282563670262,0.15231018100552846,8309.0,0.0
cnn,2,fused,sp,0.49593916312670266,0.2984420298128877,0.36738293537109773,0.3085323003371413,32816.5,0.0
cnn,2,fused,sw,0.49593916312670266,0.2984420298128877,0.6484657311540999,0.13268183315903784,20328.5,0.0
cnn,2,sp,sw,0.36738293537109773,0.3085323003371413,0.6484657311540999,0.13268183315903784,13212.0,0.0
cnn,3,fused,sp,0.5629396046640028,0.29250636507984246,0.43372034207200405,0.30325422602515234,33390.0,0.0
cnn,3,fused,sw,0.5629396046640028,0.29250636507984246,0.6958731134366595,0.13321016106681743,21507.5,0.001
