focus,n,A,B,mean(A),std(A),mean(B),std(B),U,p-value
sp,1,cnn,cnn-lstm,0.21188378967180507,0.2909018763018976,0.31481157161597656,0.35280797636818,22393.5,0.012
sp,1,cnn,lstm,0.21188378967180507,0.2909018763018976,0.23078084622748368,0.2769017495406393,24254.0,0.153
sp,1,cnn,mlp,0.21188378967180507,0.2909018763018976,0.17686406673324379,0.24360536938564833,25745.0,0.6
sp,1,cnn-lstm,lstm,0.31481157161597656,0.35280797636818,0.23078084622748368,0.2769017495406393,28711.5,0.153
sp,1,cnn-lstm,mlp,0.31481157161597656,0.35280797636818,0.17686406673324379,0.24360536938564833,29897.5,0.033
sp,1,lstm,mlp,0.23078084622748368,0.2769017495406393,0.17686406673324379,0.24360536938564833,28532.0,0.1548
sp,2,cnn,cnn-lstm,0.34976096290887737,0.3473729367009244,0.5406568100381238,0.3688639757250661,17809.5,0.0
sp,2,cnn,lstm,0.34976096290887737,0.3473729367009244,0.3051539743089599,0.3168506903294435,27603.5,0.486
sp,2,cnn,mlp,0.34976096290887737,0.3473729367009244,0.3165605148163994,0.3029644021817661,26524.0,0.958
sp,2,cnn-lstm,lstm,0.5406568100381238,0.3688639757250661,0.3051539743089599,0.3168506903294435,36370.0,0.0
sp,2,cnn-lstm,mlp,0.5406568100381238,0.3688639757250661,0.3165605148163994,0.3029644021817661,35486.0,0.0
sp,2,lstm,mlp,0.3051539743089599,0.3168506903294435,0.3165605148163994,0.3029644021817661,25162.5,0.486
sp,3,cnn,cnn-lstm,0.45709134617117364,0.354204905509948,0.6825136113088979,0.27366642591858514,15822.0,0.0
sp,3,cnn,lstm,0.45709134617117364,0.354204905509948,0.4038577025666191,0.3328399267742541,29222.0,0.05
sp,3,cnn,mlp,0.45709134617117364,0.354204905509948,0.3152752234596762,0.3088410289435957,32647.5,0.0
sp,3,cnn-lstm,lstm,0.6825136113088979,0.27366642591858514,0.4038577025666191,0.3328399267742541,40119.5,0.0
sp,3,cnn-lstm,mlp,0.6825136113088979,0.27366642591858514,0.3152752234596762,0.3088410289435957,43243.0,0.0
sp,3,lstm,mlp,0.4038577025666191,0.3328399267742541,0.3152752234596762,0.3088410289435957,30448.5,0.0048
sp,4,cnn,cnn-lstm,0.5546175087904031,0.3418672718719704,0.6650587794400856,0.3023474671794968,20287.0,0.0
sp,4,cnn,lstm,0.5546175087904031,0.3418672718719704,0.4748909807508029,0.32603414500984307,31043.5,0.0012
sp,4,cnn,mlp,0.5546175087904031,0.3418672718719704,0.4525084442618326,0.3264784118778124,31462.5,0.0
sp,4,cnn-lstm,lstm,0.6650587794400856,0.3023474671794968,0.4748909807508029,0.32603414500984307,37174.5,0.0
sp,4,cnn-lstm,mlp,0.6650587794400856,0.3023474671794968,0.4525084442618326,0.3264784118778124,37537.5,0.0
sp,4,lstm,mlp,0.4748909807508029,0.32603414500984307,0.4525084442618326,0.3264784118778124,27083.5,0.656
sp,5,cnn,cnn-lstm,0.6318075067806913,0.3095577130549124,0.7228182110104248,0.23595403454629096,22124.5,0.0024
sp,5,cnn,lstm,0.6318075067806913,0.3095577130549124,0.5536447019055415,0.2992065379537145,32301.0,0.0
sp,5,cnn,mlp,0.6318075067806913,0.3095577130549124,0.547722119612165,0.2879875744331808,32734.0,0.0
sp,5,cnn-lstm,lstm,0.7228182110104248,0.23595403454629096,0.5536447019055415,0.2992065379537145,37170.5,0.0
sp,5,cnn-lstm,mlp,0.7228182110104248,0.23595403454629096,0.547722119612165,0.2879875744331808,37671.0,0.0
sp,5,lstm,mlp,0.5536447019055415,0.2992065379537145,0.547722119612165,0.2879875744331808,26986.0,0.707
sp,6,cnn,cnn-lstm,0.6080695151858231,0.32766494585847233,0.6994742858840497,0.2675547603708987,22338.0,0.0048
sp,6,cnn,lstm,0.6080695151858231,0.32766494585847233,0.5500148344240124,0.3051615072326043,31447.0,0.0
sp,6,cnn,mlp,0.6080695151858231,0.32766494585847233,0.5271640084499791,0.32114310884035996,31622.5,0.0
sp,6,cnn-lstm,lstm,0.6994742858840497,0.2675547603708987,0.5500148344240124,0.3051615072326043,36278.5,0.0
sp,6,cnn-lstm,mlp,0.6994742858840497,0.2675547603708987,0.5271640084499791,0.32114310884035996,36112.0,0.0
sp,6,lstm,mlp,0.5500148344240124,0.3051615072326043,0.5271640084499791,0.32114310884035996,27007.5,0.695
sp,7,cnn,cnn-lstm,0.7016241941892835,0.2560953040483522,0.7666956897944078,0.1762295386035482,22792.5,0.012
sp,7,cnn,lstm,0.7016241941892835,0.2560953040483522,0.6258513556972083,0.269657697379283,32696.5,0.0
sp,7,cnn,mlp,0.7016241941892835,0.2560953040483522,0.6349170341660758,0.2623211632385548,32515.0,0.0
