focus,n,A,B,mean(A),std(A),mean(B),std(B),U,p-value
sp,2,cnn,cnn-lstm,0.36452437479228855,0.3042309620955769,0.3537797405880166,0.2924775385494517,26734.0,0.841
sp,2,cnn,lstm,0.36452437479228855,0.3042309620955769,0.318121425503935,0.28052748980174874,28414.5,0.2784
sp,2,cnn,mlp,0.36452437479228855,0.3042309620955769,0.2885569342902601,0.26794711285527223,30109.0,0.036000000000000004
sp,2,cnn-lstm,lstm,0.3537797405880166,0.2924775385494517,0.318121425503935,0.28052748980174874,28225.0,0.2784
sp,2,cnn-lstm,mlp,0.3537797405880166,0.2924775385494517,0.2885569342902601,0.26794711285527223,29991.5,0.036000000000000004
sp,2,lstm,mlp,0.318121425503935,0.28052748980174874,0.2885569342902601,0.26794711285527223,28140.0,0.2784
sp,3,cnn,cnn-lstm,0.43948472304581016,0.3067004153628414,0.4412152192420868,0.29207312773416555,26271.0,0.9
sp,3,cnn,lstm,0.43948472304581016,0.3067004153628414,0.36513728204122553,0.2916763375029934,30174.5,0.0135
sp,3,cnn,mlp,0.43948472304581016,0.3067004153628414,0.3357737065270541,0.2719189654018963,31768.0,0.0
sp,3,cnn-lstm,lstm,0.4412152192420868,0.29207312773416555,0.36513728204122553,0.2916763375029934,30541.0,0.008
sp,3,cnn-lstm,mlp,0.4412152192420868,0.29207312773416555,0.3357737065270541,0.2719189654018963,32288.5,0.0
sp,3,lstm,mlp,0.36513728204122553,0.2916763375029934,0.3357737065270541,0.2719189654018963,27975.5,0.33959999999999996
sp,4,cnn,cnn-lstm,0.5074197569088719,0.3116060414653429,0.5041780148218835,0.30279499721106773,26541.5,0.949
sp,4,cnn,lstm,0.5074197569088719,0.3116060414653429,0.42872153124951723,0.30011895487537615,30486.0,0.007500000000000001
sp,4,cnn,mlp,0.5074197569088719,0.3116060414653429,0.4248760051989712,0.2755093236461412,31499.5,0.0
sp,4,cnn-lstm,lstm,0.5041780148218835,0.30279499721106773,0.42872153124951723,0.30011895487537615,30406.0,0.007500000000000001
sp,4,cnn-lstm,mlp,0.5041780148218835,0.30279499721106773,0.4248760051989712,0.2755093236461412,31310.5,0.003
sp,4,lstm,mlp,0.42872153124951723,0.30011895487537615,0.4248760051989712,0.2755093236461412,27132.0,0.7584
sp,5,cnn,cnn-lstm,0.566872830830498,0.27361566816659005,0.5697544668970504,0.25167193587723735,27005.5,0.697
sp,5,cnn,lstm,0.566872830830498,0.27361566816659005,0.49117706757737556,0.2630476417877925,31521.5,0.0
sp,5,cnn,mlp,0.566872830830498,0.27361566816659005,0.47464404761400264,0.25969789298453416,32277.5,0.0
sp,5,cnn-lstm,lstm,0.5697544668970504,0.25167193587723735,0.49117706757737556,0.2630476417877925,31337.5,0.0015
sp,5,cnn-lstm,mlp,0.5697544668970504,0.25167193587723735,0.47464404761400264,0.25969789298453416,32400.5,0.0
sp,5,lstm,mlp,0.49117706757737556,0.2630476417877925,0.47464404761400264,0.25969789298453416,27636.0,0.4872
sp,6,cnn,cnn-lstm,0.538953526676149,0.29515899865216794,0.5472809183533913,0.28033305097358535,26219.5,0.872
sp,6,cnn,lstm,0.538953526676149,0.29515899865216794,0.4939331489596522,0.27355395377153596,29371.0,0.060000000000000005
