focus,n,A,B,mean(A),std(A),mean(B),std(B),U,p-value
sp,1,cnn,cnn-lstm,0.41017224839837874,0.38412420334275527,0.439990997197953,0.33877411376477345,25145.0,0.356
sp,1,cnn,lstm,0.41017224839837874,0.38412420334275527,0.37105794849764484,0.35645416917794776,28836.0,0.10439999999999999
sp,1,cnn,mlp,0.41017224839837874,0.38412420334275527,0.28542548300907494,0.34056346302876617,32091.0,0.0
sp,1,cnn-lstm,lstm,0.439990997197953,0.33877411376477345,0.37105794849764484,0.35645416917794776,30188.0,0.012
sp,1,cnn-lstm,mlp,0.439990997197953,0.33877411376477345,0.28542548300907494,0.34056346302876617,34171.0,0.0
sp,1,lstm,mlp,0.37105794849764484,0.35645416917794776,0.28542548300907494,0.34056346302876617,30226.0,0.012
sp,2,cnn,cnn-lstm,0.6152930066671436,0.34556745821353946,0.6616101838310543,0.2966736610579151,25489.0,0.5
sp,2,cnn,lstm,0.6152930066671436,0.34556745821353946,0.5806357668162981,0.33536014259044133,29678.5,0.0276
sp,2,cnn,mlp,0.6152930066671436,0.34556745821353946,0.4783596257073351,0.3615457168415696,32768.0,0.0
sp,2,cnn-lstm,lstm,0.6616101838310543,0.2966736610579151,0.5806357668162981,0.33536014259044133,30777.5,0.004
sp,2,cnn-lstm,mlp,0.6616101838310543,0.2966736610579151,0.4783596257073351,0.3615457168415696,34381.0,0.0
sp,2,lstm,mlp,0.5806357668162981,0.33536014259044133,0.4783596257073351,0.3615457168415696,30190.5,0.012
sp,3,cnn,cnn-lstm,0.7715862345715847,0.1860704452198237,0.7556145197286058,0.20398300975872727,27204.5,0.597
sp,3,cnn,lstm,0.7715862345715847,0.1860704452198237,0.733915558866813,0.1790698017341475,31392.0,0.002
sp,3,cnn,mlp,0.7715862345715847,0.1860704452198237,0.6428527229442792,0.284012877451256,33856.0,0.0
sp,3,cnn-lstm,lstm,0.7556145197286058,0.20398300975872727,0.733915558866813,0.1790698017341475,30497.0,0.007500000000000001
sp,3,cnn-lstm,mlp,0.7556145197286058,0.20398300975872727,0.6428527229442792,0.284012877451256,33119.5,0.0
sp,3,lstm,mlp,0.733915558866813,0.1790698017341475,0.6428527229442792,0.284012877451256,29758.5,0.024
sp,4,cnn,cnn-lstm,0.7890268522157426,0.2165150510497202,0.7807051751497934,0.1984908990791571,28348.0,0.2196
sp,4,cnn,lstm,0.7890268522157426,0.2165150510497202,0.732486530048861,0.2268218299294912,32534.5,0.0
sp,4,cnn,mlp,0.7890268522157426,0.2165150510497202,0.6920249544477565,0.28590624349224475,32979.5,0.0
sp,4,cnn-lstm,lstm,0.7807051751497934,0.1984908990791571,0.732486530048861,0.2268218299294912,30860.5,0.003
sp,4,cnn-lstm,mlp,0.7807051751497934,0.1984908990791571,0.6920249544477565,0.28590624349224475,31378.5,0.002
sp,4,lstm,mlp,0.732486530048861,0.2268218299294912,0.6920249544477565,0.28590624349224475,27066.0,0.666
sp,5,cnn,cnn-lstm,0.8460397543642577,0.1271022178601065,0.8409819317249716,0.1150695024566015,28002.0,0.3312
sp,5,cnn,lstm,0.8460397543642577,0.1271022178601065,0.7860493909869387,0.1581384011305608,34084.5,0.0
sp,5,cnn,mlp,0.8460397543642577,0.1271022178601065,0.7673888297115299,0.22131555439668282,32543.5,0.0
sp,5,cnn-lstm,lstm,0.8409819317249716,0.1150695024566015,0.7860493909869387,0.1581384011305608,32635.0,0.0
sp,5,cnn-lstm,mlp,0.8409819317249716,0.1150695024566015,0.7673888297115299,0.22131555439668282,31122.0,0.0015
sp,5,lstm,mlp,0.7860493909869387,0.1581384011305608,0.7673888297115299,0.22131555439668282,25176.5,0.372
sp,6,cnn,cnn-lstm,0.7973382047148566,0.22194696774327238,0.8165665535948515,0.16005132938314778,26769.0,0.823
