focus,n,A,B,mean(A),std(A),mean(B),std(B),U,p-value
sp,1,cnn,cnn-lstm,0.5625844282751361,0.23980580553364253,0.5325705911293386,0.24619777683364452,28206.5,0.218
sp,1,cnn,lstm,0.5625844282751361,0.23980580553364253,0.39340471453681164,0.327241901595163,34376.5,0.0
sp,1,cnn,mlp,0.5625844282751361,0.23980580553364253,0.3011973082601465,0.3251385604860562,38865.5,0.0
sp,1,cnn-lstm,lstm,0.5325705911293386,0.24619777683364452,0.39340471453681164,0.327241901595163,32715.0,0.0
sp,1,cnn-lstm,mlp,0.5325705911293386,0.24619777683364452,0.3011973082601465,0.3251385604860562,37406.5,0.0
sp,1,lstm,mlp,0.39340471453681164,0.327241901595163,0.3011973082601465,0.3251385604860562,31736.0,0.0
sp,2,cnn,cnn-lstm,0.6787569380661294,0.22753316837151433,0.6764606642651818,0.22932546115958194,27197.0,0.601
sp,2,cnn,lstm,0.6787569380661294,0.22753316837151433,0.60091071670391,0.3068347924365349,29462.0,0.052500000000000005
sp,2,cnn,mlp,0.6787569380661294,0.22753316837151433,0.5149528978119806,0.3492037496765056,33158.0,0.0
sp,2,cnn-lstm,lstm,0.6764606642651818,0.22932546115958194,0.60091071670391,0.3068347924365349,28768.5,0.1248
sp,2,cnn-lstm,mlp,0.6764606642651818,0.22932546115958194,0.5149528978119806,0.3492037496765056,32517.5,0.0
sp,2,lstm,mlp,0.60091071670391,0.3068347924365349,0.5149528978119806,0.3492037496765056,30205.5,0.016
sp,3,cnn,cnn-lstm,0.7387252244805051,0.1739920250861883,0.7312086597512353,0.17302993094871358,27704.0,0.5685
sp,3,cnn,lstm,0.7387252244805051,0.1739920250861883,0.7317244076293573,0.1716693969897158,27328.0,0.6456000000000001
sp,3,cnn,mlp,0.7387252244805051,0.1739920250861883,0.6421594997065202,0.2550927062440819,32064.0,0.0
sp,3,cnn-lstm,lstm,0.7312086597512353,0.17302993094871358,0.7317244076293573,0.1716693969897158,26166.5,0.843
sp,3,cnn-lstm,mlp,0.7312086597512353,0.17302993094871358,0.6421594997065202,0.2550927062440819,30997.0,0.002
sp,3,lstm,mlp,0.7317244076293573,0.1716693969897158,0.6421594997065202,0.2550927062440819,31268.5,0.002
sp,4,cnn,cnn-lstm,0.7571880030278956,0.17338315977925006,0.7692145896960091,0.1466128955025079,26540.5,0.95
sp,4,cnn,lstm,0.7571880030278956,0.17338315977925006,0.7300216409837197,0.20999132383311647,28302.5,0.2328
sp,4,cnn,mlp,0.7571880030278956,0.17338315977925006,0.6751150166607824,0.26717102879942217,30611.0,0.012
sp,4,cnn-lstm,lstm,0.7692145896960091,0.1466128955025079,0.7300216409837197,0.20999132383311647,28360.0,0.2328
sp,4,cnn-lstm,mlp,0.7692145896960091,0.1466128955025079,0.6751150166607824,0.26717102879942217,30658.5,0.012
sp,4,lstm,mlp,0.7300216409837197,0.20999132383311647,0.6751150166607824,0.26717102879942217,28816.0,0.194
sp,15,cnn,cnn-lstm,0.8559098029006258,0.05333437472927559,0.8360180525599168,0.07269559451001854,30315.5,0.021
sp,15,cnn,lstm,0.8559098029006258,0.05333437472927559,0.8378527638761297,0.06626908384780117,30321.5,0.021
sp,15,cnn,mlp,0.8559098029006258,0.05333437472927559,0.8480142105953403,0.06945227752283856,28080.0,0.3036
sp,15,cnn-lstm,lstm,0.8360180525599168,0.07269559451001854,0.8378527638761297,0.06626908384780117,26485.0,0.981
sp,15,cnn-lstm,mlp,0.8360180525599168,0.07269559451001854,0.8480142105953403,0.06945227752283856,24349.0,0.2115
